,Dates,"Los Angeles, CA","San Francisco, CA","Phoenix, AZ",Yellostone Park Area,Colorado FOrests DATA,Mississippi Region Fires,"North Cali, Oregon Region",Washington Region Fires
0,2020-10-01,74.6727545116982,56.875007908270156,62.17028715194243,8.774986947455659,544.6826569311688,27.103788394023,5.497999670787807,86.47259943324515
1,2020-10-02,76.78277476256163,23.05961323887232,15.453073545530113,47.554406120117854,-4.040421465917461,31.66392127202541,65.81471713883529,82.5581218281783
2,2020-10-03,75.72511395183345,58.30169361003529,84.31734220790264,206.4097041386019,2.3560152444342752,35.978587971198074,25.25861930624433,78.89230807373178
3,2020-10-04,72.08296260777745,41.38973007382288,35.59910810606635,17.14286176560654,-8.119813741450344,29.88557157483704,35.31492959396746,77.63302610482691
4,2020-10-05,69.53539037816682,37.95285943016097,-11.448706124642685,65.95235611037515,125.0802534771028,30.41417565916712,35.57770619806104,87.31976210905891
5,2020-10-06,79.02999566281504,53.47831435857006,6.452678129497201,86.93675418787359,-57.57945359542782,32.67650380783992,56.47955768170578,91.14282856405823
6,2020-10-07,80.56301434630086,18.261467039314766,-14.889214221764009,81.63324794078608,-53.18515338106181,30.147135742575898,139.52656783131613,83.4901085686451
7,2020-10-08,73.66603582359177,46.62433392742128,54.45534966347857,339.3255702721599,-59.817966260670346,31.55225471873881,155.7764319124909,75.30088613300894
8,2020-10-09,66.68794022567852,43.2554033580152,-13.095983030883119,361.9382414378511,22.16636634633824,28.943283231111547,161.51733055041746,60.38301912319474
9,2020-10-10,62.848122167038575,41.26818748908022,-14.226463987372696,433.0643658517711,50.921795408155496,28.90572210856511,148.46840577438732,54.64601450271625
10,2020-10-11,72.73014576355502,61.13798501035535,93.09889882815945,395.7739758237303,35.409666752519115,28.386221665837407,181.07400434217809,54.18228623435903
11,2020-10-12,82.5930358744907,42.59231440655253,24.371153531669012,194.5580496458529,10.178766624026592,30.793404018798903,171.7637489608345,64.44319855252655
12,2020-10-13,88.56579127652218,46.01803965793374,83.63098120686807,24.34478316127741,125.6391033350044,33.71864233538029,187.54706972840356,62.30259510479299
13,2020-10-14,76.33003345485844,112.53223520646476,22.570506727122012,14.123682504977069,87.2611790977005,32.590402881019244,125.49163154991777,62.060561469512265
14,2020-10-15,82.0297059938137,40.116911850971064,108.58393253038489,11.098729945905577,519.9298311468026,35.44680015374947,186.2083653183112,55.02852733837017
15,2020-10-16,82.65133923395354,38.56394270842742,8.687232252822652,259.8691522065226,377.8744037581148,37.857012062765065,182.16930326028088,52.74027512745568
16,2020-10-17,78.13819929617205,50.24276839946356,66.90161461900875,46.324072118552294,378.87232705597603,34.178905056017236,225.26002317102245,51.75954931476531
17,2020-10-18,82.50464880684484,48.9631023000975,33.00047947916137,22.83793073767333,365.2691958288292,34.79706579627294,267.9386062915071,68.26688730899048
18,2020-10-19,83.57326504226496,36.50630773216602,70.47305490154629,152.84148756446805,77.66707993866362,26.27523154887733,179.462273909996,68.07849468875685
19,2020-10-20,78.77249292497794,127.6298515748845,-6.707821365967035,2.784644163046437,311.71721947638997,31.520321755612386,98.45605753512598,59.6506919517509
20,2020-10-21,106.59454965244647,87.86890535466931,48.990646467556374,32.57037770846557,265.17023874178903,31.528797058202265,84.72939952517936,58.42310707175312
21,2020-10-22,95.60476093305031,34.054283068010534,26.06983224364235,122.11498812940044,9.822766715322814,31.26654224609421,221.84957498014901,59.50533490995935
22,2020-10-23,86.9267685364336,62.65147034200754,47.22549599992505,71.48564145565877,8.869494624632807,32.33576393007257,184.4821035820184,55.99232566347394
23,2020-10-24,87.07062298926546,125.8285274113896,42.835353671806786,65.99646130978817,-5.9908811352670455,29.453986429007262,255.0209059951769,61.124883615466
24,2020-10-25,80.51732240534818,57.933161445442686,21.7493142103096,60.29414045458395,3.3678515704214083,28.32799914647948,280.30435195603883,50.39461211672847
25,2020-10-26,81.84538949190892,28.87599863013969,99.75139495233307,65.95333297696016,9.78817112053639,31.29143117568233,266.38638217083144,54.71929099211515
26,2020-10-27,80.5387461509864,67.46242063125396,44.731888874887154,97.89272022802312,-15.754234937503044,32.51086225453358,250.10702517255558,58.13128350104557
27,2020-10-28,82.072008288142,40.32367014626488,43.51967614862026,220.58546158784816,8.040019056039,35.53010679151547,294.2362014246641,58.2925484313763
28,2020-10-29,85.1884409361017,89.21119152132452,-1.1736663637489642,143.2071369984253,-2.836611472138429,29.52375514111824,257.9195122593075,79.36452561221995
29,2020-10-30,83.68880840260277,33.409464835916374,30.509181828577148,119.79075920174,90.73012295818351,32.490366299804656,309.5567965155784,81.9483146678848
30,2020-10-31,84.36605317295908,63.733029872287254,0.0,131.84794696794208,117.91382897235191,33.049617046642105,267.9129553335892,77.84421484600466
31,2020-11-01,86.47085838024547,23.33961463457461,0.0,92.97303002000184,107.32854136889681,31.764281240361182,329.654199194431,90.24228515727707
32,2020-11-02,90.03585219329261,18.54274884514706,0.0,192.8985968765239,94.91461956293621,34.49862452353646,273.8361814827317,81.46876314637757
33,2020-11-03,85.682123542652,30.70546365237436,0.0,69.54827243806825,84.42302975718917,32.5658170124153,293.6998761849818,83.78509621958858
34,2020-11-04,82.1382201798063,53.201515379912955,0.0,13.011539855012984,111.9903543602695,33.334659413086115,247.99638129483228,85.54295791604011
35,2020-11-05,79.59268242898014,55.38622218822389,0.0,65.53911012335539,56.6954348520435,32.88090970978684,258.9166220928936,77.73893919899626
36,2020-11-06,76.31662292379417,24.93511311348857,0.0,50.65089760355885,225.86394131166756,32.22185479144153,204.7502956028357,80.11487460909132
37,2020-11-07,75.68157361683285,108.07860582631315,0.0,34.60237497825324,288.55566845951444,31.010186931678014,193.2089086075278,80.48829447757765
38,2020-11-08,78.36012014614681,126.47495838350756,0.0,27.64772643350523,109.09458487180314,31.128997665590035,290.52132079925224,72.98536501860771
39,2020-11-09,74.05219606135165,46.48285962392446,0.0,30.992289563290115,156.90464731698944,35.276675664275295,218.01449935298692,72.88456526184693
40,2020-11-10,76.31066510480872,58.84863842994173,0.0,68.50664058291454,18.30877091792354,35.581587962411106,268.3743900528873,80.9461385488558
41,2020-11-11,80.31057865500111,0.0,0.0,38.54346646887939,12.878750294657948,35.781200906370856,276.18031190615847,78.13035168615733
42,2020-11-12,79.38234491561974,0.0,0.0,261.77636401054434,125.79555583201841,35.09895140198981,264.7001012641996,81.71719504321311
43,2020-11-13,84.93481409846919,0.0,0.0,291.9842781241651,55.74063731305842,36.4795986266906,254.44727469010684,61.91761711170659
44,2020-11-14,86.78088633253395,0.0,0.0,26.78834799556137,-3.767581731237442,31.489306035312644,269.1361247519313,68.58677519080356
45,2020-11-15,0.0,0.0,0.0,256.15015771517915,28.752868328396058,31.127667896311134,248.7469480816412,67.3891771698353
46,2020-11-16,0.0,0.0,0.0,353.1400438985386,27.407692665184868,32.26069669035658,257.23832033901743,64.83594579316787
47,2020-11-17,0.0,0.0,0.0,113.09369575369284,36.26956499021571,30.27370834595744,103.42652641061926,67.07986753569351
48,2020-11-18,0.0,0.0,0.0,86.13847324459414,32.150492189773324,35.232465331365866,231.63348511468982,67.05169905361964
49,2020-11-19,0.0,0.0,0.0,58.6897615021736,17.71783838982992,35.873571105622894,208.69038145703763,51.20618023609876
50,2020-11-20,0.0,0.0,0.0,20.473606783285614,57.00575003611221,34.17533275523562,236.27498409814322,51.63822472641999
51,2020-11-21,0.0,0.0,0.0,94.48094604019138,19.129351226521976,31.374742593256784,239.67406632173333,61.104516983243634
52,2020-11-22,0.0,0.0,0.0,92.3867969138031,58.16601262658424,34.74302378071337,286.0648969444216,63.70698594760177
53,2020-11-23,0.0,0.0,0.0,17.497385850460432,39.76319851254903,31.972234631728874,276.48235319003004,0.0
54,2020-11-24,0.0,0.0,0.0,30.03718104730763,-27.586748922661172,33.56807552080097,369.266073044246,0.0
55,2020-11-25,0.0,0.0,0.0,36.08189840898717,-43.06553246472278,32.331177904816606,293.57859393791284,0.0
56,2020-11-26,0.0,0.0,0.0,95.3694536420212,-31.33655943976419,31.368614415652107,255.40663189611683,0.0
57,2020-11-27,0.0,0.0,0.0,20.164242958189217,35.75554715683074,31.072318171352677,132.520173343149,0.0
58,2020-11-28,0.0,0.0,0.0,93.45687055741644,9.015438268768776,29.902513173004866,139.08227551036737,0.0
59,2020-11-29,0.0,0.0,0.0,103.78928850972557,31.330979998777142,26.419574912095126,131.99700961888541,0.0
60,2020-11-30,0.0,0.0,0.0,100.96934087176987,1.5642041632918335,34.35047200725591,135.71004474484454,0.0
